objid,u,g,r,i,z,class,redshift
1237668704619528524,18.36953,17.37391,17.05618,16.9199,16.86022,STAR,-0.0007197999
1237668572012151249,16.38188,15.0975,14.6481,14.48855,14.4274,STAR,-1.135719E-05
1237668572548890918,17.47811,16.22823,15.62436,15.35283,15.18558,STAR,-0.0005440663
1237668705156268486,17.57057,16.54758,16.14557,15.96953,15.89596,STAR,-0.0008980818
1237668706766881384,17.82185,16.49649,15.96188,15.76592,15.67635,STAR,-1.737782E-05
1237668706229748603,19.26054,18.17731,17.72925,17.56596,17.4528,STAR,-0.0009587552
1237671695523841537,19.3068,18.37026,18.05387,17.97765,17.89344,STAR,-0.0003042219
1237668706229682968,17.78179,16.50704,16.0207,15.84105,15.75193,STAR,-8.929819E-05
1237668707303621224,17.97475,16.24142,15.41051,15.03084,14.77402,STAR,-0.0005800239
1237668705155614328,19.33131,17.90499,17.2989,17.05704,16.93,STAR,-0.0003043969
1237668704618742033,17.87521,16.30338,15.56274,15.24315,15.03361,STAR,-0.0002423283
1237668573085041574,19.08969,17.76826,17.85409,17.89322,18.00685,STAR,-0.0005436249
1237668706766291370,17.81719,16.46529,16.39564,16.38701,16.39061,STAR,-0.000330857
1237668650936305023,18.97871,17.00789,15.89822,15.40211,15.07995,STAR,0.0003625992
1237668650936303976,17.24223,15.60575,14.83835,14.53117,14.3421,STAR,1.81163E-05
1237668650398584214,19.18215,17.16437,16.21143,15.83548,15.64121,STAR,7.970655E-05
1237668598318760125,19.48644,16.0498,14.48586,17.51461,13.36443,STAR,-0.0001043103
1237668649862301164,19.45992,17.2759,16.11974,15.60875,15.29498,STAR,4.909022E-05
1237668598318632591,19.59942,17.3561,16.17856,15.73732,15.43766,STAR,-4.651426E-06
1237668598318303449,19.38885,17.60237,16.83413,16.18607,15.8787,STAR,5.004861E-05
1237668598318172688,18.11539,16.58342,15.60398,15.16885,14.85351,STAR,-6.606348E-05
1237668649325495104,17.30785,15.01501,12.56092,11.67402,11.39728,STAR,7.450178E-05
1237668648788558923,17.033,15.43183,14.65154,14.34525,14.16504,STAR,-8.176923E-05
1237668705688944798,18.99088,17.42398,16.78271,16.51944,16.37141,STAR,-0.0002495714
1237648705679917612,18.36679,16.67771,15.80625,15.34688,14.9629,GALAXY,0.03250279
1237668706225619281,17.13096,16.84115,17.07305,17.30592,17.56896,STAR,2.112065E-05
1237668705151811709,16.88734,15.85166,15.48918,15.35812,15.33172,STAR,-0.0002183599
1237668705151615413,19.40086,17.51323,16.69656,16.36282,16.16691,STAR,-0.00010874
1237668705688486173,18.93379,17.92146,17.56537,17.4297,17.33971,STAR,-0.0002707337
1237648702995235494,19.52344,17.47058,16.43787,15.95767,15.57217,GALAXY,0.05931826
1237668572007170696,19.28783,17.98529,17.4435,17.24857,17.15507,STAR,-0.0002263564
1237665101154812334,19.20645,16.70193,15.63232,15.2288,15.01782,STAR,6.933398E-05
1237665442614083727,18.87656,16.63927,15.78213,15.48353,15.30578,STAR,-0.000624498
1237668573617717441,17.37809,15.9944,15.412,15.17412,15.05698,STAR,-0.0003732417
1237655549133652481,18.98904,17.57558,16.99881,16.76318,16.64854,STAR,9.96728E-05
1237665532802302215,16.79416,15.36018,14.43089,14.30117,14.04291,STAR,-0.0001289608
1237665532265431076,16.84093,15.62772,15.12989,14.94383,14.85772,STAR,0.0001549758
1237668706225029388,17.50532,16.03281,15.48389,15.27887,15.19339,STAR,-0.0001056604
1237665532802236633,16.21367,15.09447,14.40377,14.36572,14.21438,STAR,-0.0001179657
1237655550744068262,17.68984,16.5656,16.09583,15.90658,15.82624,STAR,-0.000187304
1237666209250543190,19.09446,17.72714,17.63603,17.61972,17.58093,STAR,-0.0005431529
1237666226963873902,17.78056,15.76395,14.97713,14.71254,14.57885,STAR,-0.000328232
1237665429724659753,18.57888,17.5637,17.27278,17.11756,17.05681,STAR,-0.0003202582
1237665532802105601,18.81821,17.89636,17.56639,17.42073,17.39228,STAR,-0.0003192834
1237666226963547591,18.61473,16.34269,15.38541,15.00493,14.7841,STAR,-2.226578E-05
1237666227500680194,18.69055,16.58529,15.67725,15.30015,15.05862,STAR,-4.41845E-05
1237666209787217205,19.34011,17.7738,17.55496,17.49521,17.47182,GALAXY,0
1237666209787480437,18.25887,16.33932,15.38808,14.96044,14.67938,STAR,-0.0002169701
1237666210322055522,18.59875,16.38002,15.48252,15.19055,15.01128,STAR,-8.46361E-06
1237666209245954651,15.76144,14.61621,14.18152,14.00388,13.92801,STAR,-0.0002916282
1237666226424250441,15.84915,14.51987,14.25252,14.16187,14.14172,STAR,4.25157E-05
1237666228037485499,18.06526,16.7034,16.07186,15.92771,15.81354,STAR,-0.0002234945
1237666226961778229,19.47809,18.26819,17.99931,17.90934,17.96507,STAR,4.850581E-05
