iter	Passed	Remaining
0	7	7124
1	12	6427
2	18	6155
3	24	6100
4	29	5956
5	35	5922
6	41	5879
7	47	5848
8	53	5844
9	59	5865
10	65	5878
11	73	6090
12	80	6128
13	87	6133
14	92	6097
15	98	6056
16	104	6020
17	109	5994
18	115	5972
19	121	5959
20	128	5985
21	133	5943
22	139	5917
23	144	5878
24	150	5860
25	155	5826
26	161	5801
27	166	5779
28	171	5746
29	177	5723
30	182	5699
31	187	5675
32	193	5662
33	199	5662
34	205	5656
35	210	5646
36	216	5623
37	221	5606
38	226	5589
39	232	5582
40	238	5579
41	239	5471
42	244	5451
43	250	5440
44	255	5425
45	257	5330
46	262	5321
47	268	5320
48	274	5319
49	279	5310
50	284	5299
51	289	5285
52	295	5277
53	300	5270
54	305	5255
55	311	5243
56	316	5241
57	322	5236
58	328	5239
59	335	5248
60	336	5178
61	337	5113
62	343	5115
63	350	5125
64	356	5127
65	357	5064
66	363	5063
67	369	5060
68	374	5054
69	380	5051
70	385	5041
71	390	5034
72	396	5033
73	401	5027
74	407	5026
75	412	5020
76	418	5021
77	424	5016
78	429	5011
79	435	5004
80	440	4998
81	445	4991
82	451	4984
83	457	4985
84	462	4983
85	468	4977
86	473	4969
87	479	4965
88	484	4958
89	489	4951
90	494	4944
91	500	4937
92	506	4934
93	511	4931
94	517	4927
95	523	4932
96	529	4933
97	536	4936
98	542	4940
99	549	4942
100	555	4941
101	561	4942
102	567	4939
103	572	4931
104	577	4919
105	582	4912
106	588	4907
107	593	4904
108	600	4905
109	606	4907
110	613	4910
111	619	4909
112	624	4903
113	630	4899
114	636	4896
115	641	4891
116	647	4888
117	653	4881
118	658	4873
119	663	4867
120	669	4861
121	674	4855
122	681	4855
123	686	4847
124	691	4841
125	696	4834
126	703	4833
127	709	4835
128	716	4834
129	721	4826
130	726	4821
131	732	4816
132	737	4810
133	744	4808
134	750	4806
135	756	4808
136	763	4806
137	768	4802
138	774	4797
139	779	4788
140	784	4777
141	789	4772
142	795	4765
143	800	4761
144	806	4756
145	812	4750
146	817	4742
147	822	4736
148	828	4732
149	834	4731
150	840	4725
151	846	4724
152	852	4720
153	858	4714
154	863	4709
155	870	4709
156	876	4705
157	881	4699
158	887	4694
159	892	4687
160	898	4680
161	903	4674
162	909	4669
163	915	4666
164	922	4667
165	928	4662
166	933	4657
167	939	4651
168	945	4648
169	950	4642
170	956	4636
171	961	4629
172	966	4622
173	972	4617
174	978	4613
175	985	4613
176	991	4609
177	997	4605
178	1002	4598
179	1008	4592
180	1014	4589
181	1020	4584
182	1025	4578
183	1031	4572
184	1036	4565
185	1042	4561
186	1047	4554
187	1053	4549
188	1058	4542
189	1063	4535
190	1069	4530
191	1075	4528
192	1082	4526
193	1089	4524
194	1095	4522
195	1102	4521
196	1108	4518
197	1115	4517
198	1121	4513
199	1127	4511
200	1133	4505
201	1139	4499
202	1144	4494
203	1150	4489
204	1155	4482
205	1161	4475
206	1166	4470
207	1172	4466
208	1178	4460
209	1184	4455
210	1189	4449
211	1195	4445
212	1201	4439
213	1207	4434
214	1212	4428
215	1218	4421
216	1223	4416
217	1229	4409
218	1234	4403
219	1240	4397
220	1245	4391
221	1251	4384
222	1256	4377
223	1261	4371
224	1267	4367
225	1273	4362
226	1279	4358
227	1285	4353
228	1291	4346
229	1296	4341
230	1302	4336
231	1308	4332
232	1314	4328
233	1320	4323
234	1326	4317
235	1331	4310
236	1337	4304
237	1342	4299
238	1348	4292
239	1353	4287
240	1359	4281
241	1365	4276
242	1371	4271
243	1376	4266
244	1382	4259
245	1388	4255
246	1397	4261
247	1407	4266
248	1416	4273
249	1422	4268
250	1428	4262
251	1434	4257
252	1439	4250
253	1445	4244
